video_id,comment
MieBlLblZxQ,Terimakasih untuk tontonan yangg sangat bermanfaat dan semoga menjadi amaL jariyah untuk semua yang terLibat daLam produksi podcast ini..😊
MieBlLblZxQ,apakah setelah ini akan mengarah pada Dr.Djaja Surya Atmadja...?
MieBlLblZxQ,Statement detik2 akhir.... Peopleakan mencerahkan indonesia.. MINDBLOWING. spiritualitas yg gak kaleng2. dr.Tirta keren
MieBlLblZxQ,"Barrier tinggi buat dokter ini juga sama hal nya untuk Profesi Guru. Standarnya harus tinggi, namun kesejahteraanya yang harus sepadan. Mungkin gak se prestige Dokter, Tentara, Polisi atau ASN, tapi guru ini fondasi masyarakat yang penting."
MieBlLblZxQ,Semoga rakyat konoha bisa pilih tontonan yg berkualitas jangan nnton kontekan prank mulu😢😢😢miris
MieBlLblZxQ,Hahah okok siap dok ilmu jariyah😊😊<br>Nnti kalo mau periksa cek di Google dulu biar tau dokter yg kompeten apa kagak😂😂
MieBlLblZxQ,SETUJU BGT klo barrier entry based on akademis utk S1.
MieBlLblZxQ,Mnunggu topik berikutnya ttg inkompetensi seorang dgn label &quot;DOKTER&quot;
MieBlLblZxQ,Dipotong mulu jwban narsum.... Coba host nya ga ngrokok.... Pasti lbh etis
MieBlLblZxQ,gacorrrrrrr podcast mahal
MieBlLblZxQ,"dr tirta setuju bahwa permasalahan di indonesia itu hanya 1 yaitu &quot;pendidikan&quot;.<br><br>Bukan makan gratis anj."
MieBlLblZxQ,"bang suara nya kecil kali bang, boleh di besarkan bang"
MieBlLblZxQ,"<a href=""https://www.youtube.com/watch?v=MieBlLblZxQ&amp;t=2225"">37:05</a> Semangat proff🥺🤍🤍🤍"
MieBlLblZxQ,Lihat aja hasilnya 10 th gagalnya  pendidikan
MieBlLblZxQ,Kalau ada sumpah...sy mau nnya apakah sumpah itu ada konspirasi ketika sumpah d buat?? Eng ing eng...😅 ada tau ga maffff🙏
MieBlLblZxQ,"<a href=""https://www.youtube.com/watch?v=MieBlLblZxQ&amp;t=4411"">1:13:31</a> keinget pas kontrol bulanan sama dokter pas hamil dulu. Dulu masih viral2nya melahirkan tanpa episiotomi dan robekan alami. Pas aku tanyain soal itu malah dimaki2 aku 😅. <br>Dia bilang “ga mungkin itu. Kamu mau robekan alami tapi robekan ke arah klitoris?” 😂"
MieBlLblZxQ,Kalau dr Tirta mending pakai clip on mic
MieBlLblZxQ,😅😅<br>Bener sekali kata dr Tirta. <br>Banyak sekali dokter yg bekerja sama dngan perusahaan farmasi untuk menjual produk mereka. <br>Karena aku dulu sering ngeloby dokter untuk pake produk dri perusahaan ku😂.
MieBlLblZxQ,"undang lg Dr.tirta kak, jangan sia2in pinternyaa diaa"
MieBlLblZxQ,Brain brainnya oke
MieBlLblZxQ,Dokter Tirta dokter angreani orang pengecualian gk orak umum cuma ukuran materi itu kurang standar orang pintar
MieBlLblZxQ,Serasa dengerin candaan warung kopi tapi berkelas
MieBlLblZxQ,Bsa gk dokter jujur melaporkan PBF yg menawarkan tersebut agar PBF itu di tutup. Krna drpd harus menyalahkan dokter gk ribet jg
MieBlLblZxQ,Berarti yg harus di tangkap yah sales obatnya. 😂😅😂
MieBlLblZxQ,noted 📝
MieBlLblZxQ,"<a href=""https://www.youtube.com/watch?v=MieBlLblZxQ&amp;t=4421"">1:13:41</a> dokter yang setelah kuliah!  belajarnya lewat Google 🤭🤭"
MieBlLblZxQ,fix dr tirta menkes masa depan .. aminm
MieBlLblZxQ,Gara gara denger ini. Point masalahnya satu: KARNA GAJI DOKTER KECIL!!!!! TERUTAMA PASIEN BPJS!!!! segala dilakuin demi balik modal biaya sekolah...
MieBlLblZxQ,Pantesan sekarang banyak pasien dirumah sakit tidak mengetahui mereka sakit apa!
MieBlLblZxQ,Sudah tidak tahan dengan molen itu 😂
MieBlLblZxQ,"gila gila, bener2 daging isinya"
MieBlLblZxQ,"Donny yen kalau nonton ini pasti bilang<br>Wah kembaranku di Indonesia 😂😂😂 <a href=""https://www.youtube.com/watch?v=MieBlLblZxQ&amp;t=103"">1:43</a>"
MieBlLblZxQ,senang bet aku nonton <br>nya <br>walaupun aku kurang mengerti😂❤❤❤❤
MieBlLblZxQ,"So far ini podcast Dr. Tirta  yang paling kritis sihh pembahasan pinggir jurang tapi analogi dan pemahaman di sampaikan dengan sangat baik dan hati hati tanpa menyinggung satupun pihak, kereeeeennnnn🔥🔥🔥🔥🔥"
MieBlLblZxQ,definisi tepat pada tempatnya
MieBlLblZxQ,"Pernah punya teman bapaknya dokter, kakaknya 2 org dokter, lha dia ga mau jd dokter. Sama bapaknya dimarahin dan dibujuk dia minta apapun dikasih supaya mau jd dokter.. Selama dia kuliah kedokteran yg notabene dia ga niat itu dia ganti mobil 3x. Se a en je ge itu memang yahh saat udh bicara duit. Temenku akhirnya lulus dan ga tau kerja dmna dia skr.."
MieBlLblZxQ,anjay
MieBlLblZxQ,"Visualnya enak bgt, ini mah standar buat bikin Video Klip dan Film 😅"
